year,cuenta,entidad,cop,entity_code,sector_code,indice,cop_def
2013,INVERSION,INSTITUTO TOLIMENSE DE FORMACIÓN TÉCNICA PROFESIONAL,600740000.0,2241,22,78.05,769686098.6547085
2013,FUNCIONAMIENTO,"INSTITUTO TÉCNICO NACIONAL DE COMERCIO ""SIMÓN RODRÍGUEZ"" DE CALI",4157198202.0,2242,22,78.05,5326326972.453556
2013,INVERSION,"INSTITUTO TÉCNICO NACIONAL DE COMERCIO ""SIMÓN RODRÍGUEZ"" DE CALI",287116568.0,2242,22,78.05,367862354.9007047
2013,FUNCIONAMIENTO,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,64534400000.0,2301,23,78.05,82683408071.74889
2013,INVERSION,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,8550000000.0,2301,23,78.05,10954516335.682255
2013,FUNCIONAMIENTO,FONDO ÚNICO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,346709700000.0,2306,23,78.05,444214862267.7771
2013,INVERSION,FONDO ÚNICO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,993315800000.0,2306,23,78.05,1272665983344.0103
2013,FUNCIONAMIENTO,AGENCIA NACIONAL DEL ESPECTRO - ANE,9664000000.0,2309,23,78.05,12381806534.272902
2013,INVERSION,AGENCIA NACIONAL DEL ESPECTRO - ANE,18500000000.0,2309,23,78.05,23702754644.458683
2013,FUNCIONAMIENTO,MINISTERIO DE TRANSPORTE,101182300000.0,2401,24,78.05,129637796284.43306
2013,INVERSION,MINISTERIO DE TRANSPORTE,141894300000.0,2401,24,78.05,181799231262.01154
2013,FUNCIONAMIENTO,INSTITUTO NACIONAL DE VÍAS,118498600000.0,2402,24,78.05,151823959000.64062
2013,DEUDA,INSTITUTO NACIONAL DE VÍAS,59180100000.0,2402,24,78.05,75823318385.65022
2013,INVERSION,INSTITUTO NACIONAL DE VÍAS,3764202787083.0,2402,24,78.05,4822809464552.21
2013,FUNCIONAMIENTO,UNIDAD ADMINISTRATIVA ESPECIAL DE LA AERONÁUTICA CIVIL,251504300000.0,2412,24,78.05,322234849455.4773
